altitude_km,energy_eV,probability_density_eV-1,spectral_production_cm-3_s-1_eV-1
98.75,0.0125,0.0,0.0
98.75,0.037500000000000006,0.0,0.0
98.75,0.0625,0.0,0.0
98.75,0.08750000000000001,0.0,0.0
98.75,0.1125,0.0,0.0
98.75,0.1375,0.0,0.0
98.75,0.16250000000000003,0.0,0.0
98.75,0.1875,0.0,0.0
98.75,0.21250000000000002,0.0003000000000000001,0.2577304082513369
98.75,0.2375,0.0026000000000000003,2.233663538178253
98.75,0.2625,0.008599999999999991,7.388271703204983
98.75,0.28750000000000003,0.029699999999999973,25.515310416882325
98.75,0.3125,0.0725000000000001,62.28484866073983
98.75,0.3375,0.14149999999999988,121.56284255854712
98.75,0.36250000000000004,0.2108000000000003,181.09856686460628
98.75,0.3875,0.3024999999999997,259.8781616534311
98.75,0.41250000000000003,0.3369999999999997,289.5171586023348
98.75,0.4375,0.33630000000000043,288.915787649749
98.75,0.4625,0.28599999999999975,245.7029891996076
98.75,0.48750000000000004,0.21590000000000031,185.47998380487903
98.75,0.5125,0.15259999999999985,131.09886766384656
98.75,0.5375000000000001,0.09809999999999991,84.27784349818708
98.75,0.5625,0.052699999999999955,45.27464171615147
98.75,0.5875000000000001,0.02709999999999998,23.28164687870408
98.75,0.6125,0.013500000000000048,11.5978683713102
98.75,0.6375,0.004699999999999996,4.037776395937607
98.75,0.6625000000000001,0.001199999999999999,1.0309216330053466
98.75,0.6875,0.0009999999999999992,0.8591013608377889
98.75,0.7125000000000001,0.00019999999999999985,0.17182027216755777
98.75,0.7375,0.0,0.0
98.75,0.7625,0.0,0.0
98.75,0.7875000000000001,0.0,0.0
98.75,0.8125,0.0,0.0
98.75,0.8375000000000001,0.0,0.0
98.75,0.8625,0.0,0.0
98.75,0.8875,0.0,0.0
98.75,0.9125000000000001,0.0,0.0
98.75,0.9375,0.0,0.0
98.75,0.9625000000000001,0.0,0.0
98.75,0.9875,0.0,0.0
98.75,1.0125000000000002,0.0,0.0
98.75,1.0375,0.00010000000000000036,0.08591013608377926
98.75,1.0625,0.00020000000000000071,0.17182027216755852
98.75,1.0875,0.00019999999999999895,0.17182027216755702
98.75,1.1125,0.0007000000000000024,0.6013709525864548
98.75,1.1375000000000002,0.002299999999999988,1.9759331299269056
98.75,1.1625,0.003800000000000014,3.2645851711836125
98.75,1.1875,0.008999999999999952,7.731912247540065
98.75,1.2125000000000001,0.01610000000000006,13.831531909488463
98.75,1.2375,0.03020000000000011,25.944861097301338
98.75,1.2625000000000002,0.04689999999999975,40.291853823292115
98.75,1.2875,0.07930000000000027,68.12673791443694
98.75,1.3125,0.11759999999999937,101.03032003452351
98.75,1.3375000000000001,0.1737000000000006,149.22590637752458
98.75,1.3625,0.23860000000000084,204.9815846958973
98.75,1.3875000000000002,0.3033999999999984,260.65135287818396
98.75,1.4125,0.3891000000000014,334.2763395019851
98.75,1.4375,0.46069999999999756,395.78799693796753
98.75,1.4625000000000001,0.5169000000000018,444.06949341705496
98.75,1.4875,0.584600000000002,502.2306555457735
98.75,1.5125000000000002,0.6374999999999966,547.677117534088
98.75,1.5375,0.6403000000000023,550.0826013444387
98.75,1.5625,0.6424999999999966,551.9726243382769
98.75,1.5875000000000001,0.5834000000000021,501.1997339127683
98.75,1.6125,0.5291000000000019,454.5505300192761
98.75,1.6375000000000002,0.4738999999999975,407.1281349010263
98.75,1.6625,0.4000000000000014,343.64054433511706
98.75,1.6875,0.3383999999999982,290.71990050750645
98.75,1.7125000000000001,0.2643000000000009,227.06048966942856
98.75,1.7375,0.19980000000000073,171.648451895391
98.75,1.7625000000000002,0.15579999999999916,133.8479920185269
98.75,1.7875,0.10340000000000037,88.83108071062776
98.75,1.8125,0.07749999999999958,66.58035546492833
98.75,1.8375000000000001,0.05320000000000019,45.70419239657057
98.75,1.8625,0.03420000000000012,29.381266540652504
98.75,1.8875000000000002,0.023899999999999876,20.532522524023065
98.75,1.9125,0.013500000000000048,11.5978683713102
98.75,1.9375,0.007799999999999958,6.700990614534723
98.75,1.9625000000000001,0.006500000000000023,5.584158845445652
98.75,1.9875,0.006600000000000023,5.670068981529432
98.75,2.0125,0.00870000000000003,7.4741818392887955
98.75,2.0375,0.010599999999999849,9.10647442488044
98.75,2.0625,0.018100000000000064,15.549734631164046
98.75,2.0875000000000004,0.026400000000000094,22.680275926117726
98.75,2.1125,0.038100000000000134,32.7317618479199
98.75,2.1375,0.06340000000000022,54.46702627711605
98.75,2.1625,0.08949999999999872,76.88957179498107
98.75,2.1875,0.12840000000000046,110.30861473157258
98.75,2.2125000000000004,0.1692000000000006,145.3599502537545
98.75,2.2375,0.2449000000000009,210.39392326917545
98.75,2.2625,0.31480000000000113,270.4451083917371
98.75,2.2875,0.4068999999999942,349.5683437248916
98.75,2.3125,0.5071000000000018,435.6503000808446
98.75,2.3375000000000004,0.6141000000000022,527.5741456904884
98.75,2.3625,0.7353000000000026,631.697230624029
98.75,2.3875,0.837399999999988,719.4114795655547
98.75,2.4125000000000005,0.9404000000000033,807.8989197318601
98.75,2.4375,1.0259000000000036,881.3520860834914
98.75,2.4625000000000004,1.0897000000000039,936.1627529049426
98.75,2.4875,1.121000000000004,963.0526254991655
98.75,2.5125,1.1716999999999833,1006.6090644936237
98.75,2.5375000000000005,1.1663000000000041,1001.9699171451175
98.75,2.5625,1.0979000000000039,943.2073840638125
98.75,2.5875000000000004,1.0462000000000038,898.7918437084987
98.75,2.6125,0.9877000000000035,848.5344140994878
98.75,2.6375,0.9030999999999871,775.8544389725967
98.75,2.6625000000000005,0.7936000000000029,681.7828399608723
98.75,2.6875,0.6887000000000024,591.6631072089878
