altitude_km,energy_eV,probability_density_eV-1,spectral_production_cm-3_s-1_eV-1
98.75,0.0125,0.0,0.0
98.75,0.037500000000000006,0.0,0.0
98.75,0.0625,0.0,0.0
98.75,0.08750000000000001,0.0,0.0
98.75,0.1125,0.0,0.0
98.75,0.1375,0.0,0.0
98.75,0.16250000000000003,0.0,0.0
98.75,0.1875,0.00010000000000000003,0.08591013608377898
98.75,0.21250000000000002,0.00020000000000000006,0.17182027216755796
98.75,0.2375,0.0018000000000000006,1.5463824495080218
98.75,0.2625,0.008699999999999992,7.474181839288763
98.75,0.28750000000000003,0.02509999999999998,21.563444157028503
98.75,0.3125,0.05560000000000007,47.76603566258116
98.75,0.3375,0.1115999999999999,95.87571186949722
98.75,0.36250000000000004,0.18320000000000025,157.38736930548328
98.75,0.3875,0.23699999999999977,203.60702251855594
98.75,0.41250000000000003,0.27649999999999975,237.5415262716486
98.75,0.4375,0.27190000000000036,233.5896600117953
98.75,0.4625,0.2442999999999998,209.8784624526718
98.75,0.48750000000000004,0.19920000000000027,171.1329910788879
98.75,0.5125,0.15109999999999987,129.8102156225899
98.75,0.5375000000000001,0.10159999999999991,87.28469826111935
98.75,0.5625,0.07129999999999993,61.25392702773434
98.75,0.5875000000000001,0.04959999999999996,42.611427497554324
98.75,0.6125,0.03340000000000012,28.69398545198227
98.75,0.6375,0.028299999999999974,24.312568511709422
98.75,0.6625000000000001,0.02209999999999998,18.986140074515134
98.75,0.6875,0.020199999999999982,17.353847488923332
98.75,0.7125000000000001,0.019899999999999984,17.096117080672
98.75,0.7375,0.018900000000000066,16.23701571983428
98.75,0.7625,0.018999999999999982,16.322925855917987
98.75,0.7875000000000001,0.018399999999999986,15.807465039415316
98.75,0.8125,0.013999999999999988,12.027419051729044
98.75,0.8375000000000001,0.013299999999999989,11.426048099142593
98.75,0.8625,0.013000000000000046,11.168317690891303
98.75,0.8875,0.01059999999999999,9.106474424880561
98.75,0.9125000000000001,0.012699999999999989,10.910587282639918
98.75,0.9375,0.010199999999999992,8.762833880545447
98.75,0.9625000000000001,0.008099999999999993,6.958721022786089
98.75,0.9875,0.00840000000000003,7.216451431037458
98.75,1.0125000000000002,0.006299999999999967,5.4123385732780465
98.75,1.0375,0.0059000000000000215,5.068698028942977
98.75,1.0625,0.0059000000000000215,5.068698028942977
98.75,1.0875,0.004799999999999974,4.123686532021368
98.75,1.1125,0.003100000000000011,2.6632142185971572
98.75,1.1375000000000002,0.004099999999999978,3.522315579434918
98.75,1.1625,0.0050000000000000175,4.295506804188963
98.75,1.1875,0.008199999999999956,7.044631158869836
98.75,1.2125000000000001,0.01360000000000005,11.683778507393981
98.75,1.2375,0.024500000000000088,21.04798334052592
98.75,1.2625000000000002,0.04239999999999977,36.42589769952208
98.75,1.2875,0.06220000000000022,53.4361046441107
98.75,1.3125,0.0932999999999995,80.15415696616533
98.75,1.3375000000000001,0.1453000000000005,124.82742772973127
98.75,1.3625,0.19000000000000067,163.22925855918058
98.75,1.3875000000000002,0.2523999999999986,216.8371834754569
98.75,1.4125,0.33010000000000117,283.58935921255534
98.75,1.4375,0.37699999999999795,323.8812130358449
98.75,1.4625000000000001,0.4596000000000016,394.84298544104945
98.75,1.4875,0.4985000000000018,428.26202837763964
98.75,1.5125000000000002,0.5264999999999972,452.3168664810938
98.75,1.5375,0.5303000000000019,455.58145165228143
98.75,1.5625,0.5409999999999971,464.77383621324174
98.75,1.5875000000000001,0.5248000000000018,450.85639416767356
98.75,1.6125,0.49970000000000175,429.292950010645
98.75,1.6375000000000002,0.4533999999999976,389.5165570038517
98.75,1.6625,0.3963000000000014,340.4618693000172
98.75,1.6875,0.35059999999999814,301.2009371097274
98.75,1.7125000000000001,0.290100000000001,249.22530477904363
98.75,1.7375,0.23660000000000084,203.26338197422174
98.75,1.7625000000000002,0.19789999999999894,170.01615930979764
98.75,1.7875,0.15510000000000054,133.24662106594164
98.75,1.8125,0.1309999999999993,112.54227826974984
98.75,1.8375000000000001,0.11760000000000041,101.03032003452441
98.75,1.8625,0.09110000000000032,78.26413397232291
98.75,1.8875000000000002,0.0769999999999996,66.15080478450945
98.75,1.9125,0.06690000000000024,57.473881040048326
98.75,1.9375,0.06119999999999967,52.57700328327244
98.75,1.9625000000000001,0.0544000000000002,46.735114029575925
98.75,1.9875,0.05090000000000018,43.72825926664365
98.75,2.0125,0.04660000000000017,40.03412341504114
98.75,2.0375,0.04589999999999935,39.43275246245398
98.75,2.0625,0.04510000000000016,38.74547137378445
98.75,2.0875000000000004,0.050700000000000175,43.55643899447608
98.75,2.1125,0.06160000000000022,52.920643827608025
98.75,2.1375,0.07370000000000027,63.31577029374532
98.75,2.1625,0.09329999999999868,80.15415696616463
98.75,2.1875,0.12360000000000043,106.18492819955117
98.75,2.2125000000000004,0.1657000000000006,142.35309549082226
98.75,2.2375,0.21520000000000078,184.87861285229297
98.75,2.2625,0.26810000000000095,230.3250748406122
98.75,2.2875,0.3464999999999951,297.6786215302899
98.75,2.3125,0.4361000000000016,374.6541034613614
98.75,2.3375000000000004,0.5172000000000019,444.32722382530636
98.75,2.3625,0.6181000000000022,531.0105511338396
98.75,2.3875,0.7072999999999899,607.64239252056
98.75,2.4125000000000005,0.7991000000000028,686.50789744548
98.75,2.4375,0.863500000000003,741.8340250834339
98.75,2.4625000000000004,0.9456000000000034,812.3662468082167
98.75,2.4875,0.9937000000000036,853.6890222645146
98.75,2.5125,1.0172999999999857,873.9638143802711
98.75,2.5375000000000005,1.0344000000000038,888.6544476506127
98.75,2.5625,0.9900000000000035,850.5103472294147
98.75,2.5875000000000004,0.9880000000000035,848.7921445077392
